run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394683,RCN18735,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14394683/ERR14394683_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14394683/ERR14394683_2.fastq.gz
ERR14394717,RCN18748,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/017/ERR14394717/ERR14394717_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/017/ERR14394717/ERR14394717_2.fastq.gz
ERR15627414,RCN18713,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/014/ERR15627414/ERR15627414_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/014/ERR15627414/ERR15627414_2.fastq.gz
ERR15627435,RCN18737,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/035/ERR15627435/ERR15627435_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/035/ERR15627435/ERR15627435_2.fastq.gz
ERR15627436,RCN18738,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/036/ERR15627436/ERR15627436_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/036/ERR15627436/ERR15627436_2.fastq.gz
ERR14394664,RCN18729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14394664/ERR14394664_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14394664/ERR14394664_2.fastq.gz
ERR14394670,RCN18731,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14394670/ERR14394670_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14394670/ERR14394670_2.fastq.gz
ERR14394671,RCN18731,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14394671/ERR14394671_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14394671/ERR14394671_2.fastq.gz
ERR14394696,RCN18740,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14394696/ERR14394696_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14394696/ERR14394696_2.fastq.gz
ERR14394697,RCN18740,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14394697/ERR14394697_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14394697/ERR14394697_2.fastq.gz
