sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,INSDC_Pf8,INSDC_GenRe_GRC1,INSDC_GenRe_GRC2,INSDC_GenRe_SPEC
RCN13280,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625826,ERR14389935,ERR14389936,ERR14389937
RCN13281,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625827,ERR14389938,ERR14389939,ERR14389940
RCN13283,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625829,ERR14389944,ERR14389945,ERR14389946
RCN13285,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625831,ERR14389950,ERR14389951,ERR14389952
RCN13286,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625832,ERR14389953,ERR14389954,ERR14389955
RCN13288,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625834,ERR14389959,ERR14389960,ERR14389961
RCN13303,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625849,ERR14390004,ERR14390005,ERR14390006
RCN13306,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625852,ERR14390013,ERR14390014,ERR14390015
RCN13310,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625856,ERR14390025,ERR14390026,ERR14390027
RCN13312,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Sensitive,Resistant,Sensitive,Sensitive,ERR15625858,ERR14390031,ERR14390032,ERR14390033
RCN13313,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625859,ERR14390034,ERR14390035,ERR14390036
RCN13338,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625878,ERR14390094,ERR14390095,ERR14390096
