run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394802,RCN24813,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14394802/ERR14394802_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14394802/ERR14394802_2.fastq.gz
ERR14394813,RCN24817,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14394813/ERR14394813_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14394813/ERR14394813_2.fastq.gz
ERR14394814,RCN24817,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14394814/ERR14394814_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14394814/ERR14394814_2.fastq.gz
ERR14394858,RCN24832,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14394858/ERR14394858_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14394858/ERR14394858_2.fastq.gz
ERR14394859,RCN24832,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14394859/ERR14394859_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14394859/ERR14394859_2.fastq.gz
ERR14394860,RCN24832,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14394860/ERR14394860_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14394860/ERR14394860_2.fastq.gz
ERR14394918,RCN24856,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394918/ERR14394918_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394918/ERR14394918_2.fastq.gz
ERR14394919,RCN24856,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394919/ERR14394919_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394919/ERR14394919_2.fastq.gz
ERR14394981,RCN24877,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14394981/ERR14394981_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14394981/ERR14394981_2.fastq.gz
ERR14394982,RCN24877,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14394982/ERR14394982_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14394982/ERR14394982_2.fastq.gz
