file,count
ERR14389950_1.fastq.gz,40280
ERR14389951_1.fastq.gz,34762
ERR14389952_1.fastq.gz,837
ERR14389953_1.fastq.gz,28289
ERR14389954_1.fastq.gz,35660
ERR14389955_1.fastq.gz,104
ERR14389959_1.fastq.gz,53832
ERR14389960_1.fastq.gz,41695
ERR14389961_1.fastq.gz,1844
ERR14390004_1.fastq.gz,34256
ERR14390005_1.fastq.gz,25591
ERR14390006_1.fastq.gz,1141
ERR14390013_1.fastq.gz,47025
ERR14390014_1.fastq.gz,43282
ERR14390015_1.fastq.gz,2105
ERR14390025_1.fastq.gz,38149
ERR14390026_1.fastq.gz,33128
ERR14390027_1.fastq.gz,637
ERR14390031_1.fastq.gz,39421
ERR14390032_1.fastq.gz,32035
ERR14390033_1.fastq.gz,1424
ERR14390034_1.fastq.gz,38477
ERR14390035_1.fastq.gz,34025
ERR14390036_1.fastq.gz,1108
ERR14390094_1.fastq.gz,24314
ERR14390095_1.fastq.gz,31572
ERR14390096_1.fastq.gz,1312
ERR14390097_1.fastq.gz,25574
ERR14390098_1.fastq.gz,29544
ERR14390099_1.fastq.gz,665
ERR14390106_1.fastq.gz,34161
ERR14390107_1.fastq.gz,28185
ERR14390108_1.fastq.gz,424
ERR14390112_1.fastq.gz,32268
ERR14390113_1.fastq.gz,31695
ERR14390114_1.fastq.gz,661
ERR14390118_1.fastq.gz,23470
ERR14390119_1.fastq.gz,31662
ERR14390120_1.fastq.gz,1127
ERR14390124_1.fastq.gz,40301
ERR14390125_1.fastq.gz,31901
ERR14390126_1.fastq.gz,1576
ERR14390130_1.fastq.gz,20316
ERR14390131_1.fastq.gz,25222
ERR14390132_1.fastq.gz,24
ERR14390133_1.fastq.gz,45537
ERR14390134_1.fastq.gz,34510
ERR14390135_1.fastq.gz,1629
ERR14390139_1.fastq.gz,26718
ERR14390140_1.fastq.gz,28178
ERR14390141_1.fastq.gz,1139
ERR14390148_1.fastq.gz,26218
ERR14390149_1.fastq.gz,33098
ERR14390150_1.fastq.gz,660
ERR14390172_1.fastq.gz,48044
ERR14390173_1.fastq.gz,52315
ERR14390174_1.fastq.gz,1818
ERR14390199_1.fastq.gz,27323
ERR14390200_1.fastq.gz,30291
ERR14390201_1.fastq.gz,620
ERR14390223_1.fastq.gz,16799
ERR14390224_1.fastq.gz,38786
ERR14390225_1.fastq.gz,472
ERR14390226_1.fastq.gz,39221
ERR14390227_1.fastq.gz,37081
ERR14390228_1.fastq.gz,1993
ERR14390232_1.fastq.gz,32063
ERR14390233_1.fastq.gz,29825
ERR14390234_1.fastq.gz,157
ERR14390235_1.fastq.gz,37902
ERR14390236_1.fastq.gz,33697
ERR14390237_1.fastq.gz,63
ERR14390241_1.fastq.gz,41855
ERR14390242_1.fastq.gz,32028
ERR14390243_1.fastq.gz,770
ERR14390244_1.fastq.gz,39108
ERR14390245_1.fastq.gz,32669
ERR14390246_1.fastq.gz,736
ERR14390250_1.fastq.gz,43350
ERR14390251_1.fastq.gz,36540
ERR14390252_1.fastq.gz,1468
ERR14390268_1.fastq.gz,23447
ERR14390269_1.fastq.gz,33625
ERR14390270_1.fastq.gz,449
ERR14390307_1.fastq.gz,29490
ERR14390308_1.fastq.gz,32563
ERR14390309_1.fastq.gz,1841
ERR14390316_1.fastq.gz,25179
ERR14390317_1.fastq.gz,29120
ERR14390318_1.fastq.gz,103
ERR14390322_1.fastq.gz,30403
ERR14390323_1.fastq.gz,26438
ERR14390324_1.fastq.gz,1531
ERR14390352_1.fastq.gz,39389
ERR14390353_1.fastq.gz,34909
ERR14390354_1.fastq.gz,2294
ERR14390406_1.fastq.gz,44371
ERR14390407_1.fastq.gz,37084
ERR14390408_1.fastq.gz,1231
ERR14390421_1.fastq.gz,19151
ERR14390422_1.fastq.gz,28385
ERR14390423_1.fastq.gz,961
ERR14390427_1.fastq.gz,43405
ERR14390428_1.fastq.gz,47958
ERR14390429_1.fastq.gz,1082
ERR14390445_1.fastq.gz,40436
ERR14390446_1.fastq.gz,29110
ERR14390447_1.fastq.gz,1658
ERR14390454_1.fastq.gz,35434
ERR14390455_1.fastq.gz,28376
ERR14390456_1.fastq.gz,1491
ERR14390460_1.fastq.gz,26492
ERR14390461_1.fastq.gz,27823
ERR14390462_1.fastq.gz,499
ERR14390478_1.fastq.gz,36584
ERR14390479_1.fastq.gz,25974
ERR14390480_1.fastq.gz,747
ERR14390481_1.fastq.gz,34437
ERR14390482_1.fastq.gz,26659
ERR14390483_1.fastq.gz,965
ERR14390484_1.fastq.gz,12542
ERR14390485_1.fastq.gz,23990
ERR14390486_1.fastq.gz,176
ERR14390493_1.fastq.gz,40289
ERR14390494_1.fastq.gz,28014
ERR14390495_1.fastq.gz,1449
ERR14390496_1.fastq.gz,27222
ERR14390497_1.fastq.gz,29304
ERR14390498_1.fastq.gz,352
ERR14390502_1.fastq.gz,44906
ERR14390503_1.fastq.gz,35068
ERR14390504_1.fastq.gz,1021
ERR14390517_1.fastq.gz,51218
ERR14390518_1.fastq.gz,40498
ERR14390519_1.fastq.gz,1580
ERR14390520_1.fastq.gz,27121
ERR14390521_1.fastq.gz,32982
ERR14390522_1.fastq.gz,105
ERR14390541_1.fastq.gz,36852
ERR14390542_1.fastq.gz,28185
ERR14390543_1.fastq.gz,962
ERR14390559_1.fastq.gz,42399
ERR14390560_1.fastq.gz,34870
ERR14390561_1.fastq.gz,2180
ERR14390565_1.fastq.gz,33568
ERR14390566_1.fastq.gz,21986
ERR14390567_1.fastq.gz,682
ERR14390571_1.fastq.gz,37793
ERR14390572_1.fastq.gz,25029
ERR14390573_1.fastq.gz,413
ERR14390577_1.fastq.gz,30039
ERR14390578_1.fastq.gz,26177
ERR14390579_1.fastq.gz,1415
ERR14390580_1.fastq.gz,13403
ERR14390581_1.fastq.gz,22636
ERR14390582_1.fastq.gz,81
ERR14390589_1.fastq.gz,23404
ERR14390590_1.fastq.gz,30817
ERR14390591_1.fastq.gz,283
ERR14390667_1.fastq.gz,14315
ERR14390668_1.fastq.gz,25552
ERR14390669_1.fastq.gz,158
ERR14390673_1.fastq.gz,21995
ERR14390674_1.fastq.gz,19795
ERR14390675_1.fastq.gz,1130
ERR14390682_1.fastq.gz,32652
ERR14390683_1.fastq.gz,31737
ERR14390684_1.fastq.gz,946
ERR14390688_1.fastq.gz,22771
ERR14390689_1.fastq.gz,31134
ERR14390690_1.fastq.gz,416
ERR14390691_1.fastq.gz,37423
ERR14390692_1.fastq.gz,30818
ERR14390693_1.fastq.gz,799
ERR14390703_1.fastq.gz,30789
ERR14390704_1.fastq.gz,28463
ERR14390705_1.fastq.gz,1065
ERR14390712_1.fastq.gz,36897
ERR14390713_1.fastq.gz,32326
ERR14390714_1.fastq.gz,1640
ERR14390715_1.fastq.gz,35205
ERR14390716_1.fastq.gz,34602
ERR14390717_1.fastq.gz,1668
ERR14390724_1.fastq.gz,41278
ERR14390725_1.fastq.gz,43455
ERR14390726_1.fastq.gz,2130
ERR14390727_1.fastq.gz,34906
ERR14390728_1.fastq.gz,29024
ERR14390729_1.fastq.gz,1413
ERR14390733_1.fastq.gz,41312
ERR14390734_1.fastq.gz,34309
ERR14390735_1.fastq.gz,355
ERR14390742_1.fastq.gz,12370
ERR14390743_1.fastq.gz,29624
ERR14390744_1.fastq.gz,231
ERR14390745_1.fastq.gz,37503
ERR14390746_1.fastq.gz,35033
ERR14390747_1.fastq.gz,1812
ERR14390751_1.fastq.gz,37658
ERR14390752_1.fastq.gz,31431
ERR14390753_1.fastq.gz,1436
ERR14390778_1.fastq.gz,36220
ERR14390779_1.fastq.gz,39425
ERR14390780_1.fastq.gz,350
ERR14390781_1.fastq.gz,27991
ERR14390782_1.fastq.gz,25875
ERR14390783_1.fastq.gz,1444
ERR14390880_1.fastq.gz,32307
ERR14390881_1.fastq.gz,36519
ERR14390882_1.fastq.gz,1521
ERR14390919_1.fastq.gz,44672
ERR14390920_1.fastq.gz,49219
ERR14390921_1.fastq.gz,1658
ERR14390940_1.fastq.gz,30067
ERR14390941_1.fastq.gz,35161
ERR14390942_1.fastq.gz,1104
ERR14390949_1.fastq.gz,35481
ERR14390950_1.fastq.gz,37041
ERR14390951_1.fastq.gz,988
ERR14390955_1.fastq.gz,29441
ERR14390956_1.fastq.gz,31675
ERR14390957_1.fastq.gz,1447
ERR14390958_1.fastq.gz,27125
ERR14390959_1.fastq.gz,30012
ERR14390960_1.fastq.gz,8
ERR14390967_1.fastq.gz,27909
ERR14390968_1.fastq.gz,33904
ERR14390969_1.fastq.gz,1066
ERR14390988_1.fastq.gz,25335
ERR14390989_1.fastq.gz,31299
ERR14390990_1.fastq.gz,1083
ERR14390991_1.fastq.gz,25718
ERR14390992_1.fastq.gz,30858
ERR14390993_1.fastq.gz,1199
ERR14391000_1.fastq.gz,25868
ERR14391001_1.fastq.gz,29876
ERR14391002_1.fastq.gz,949
ERR14391003_1.fastq.gz,19114
ERR14391004_1.fastq.gz,42002
ERR14391005_1.fastq.gz,724
ERR14391009_1.fastq.gz,34474
ERR14391010_1.fastq.gz,41247
ERR14391011_1.fastq.gz,369
ERR14391036_1.fastq.gz,24189
ERR14391037_1.fastq.gz,30998
ERR14391038_1.fastq.gz,706
ERR14391048_1.fastq.gz,17443
ERR14391049_1.fastq.gz,26803
ERR14391050_1.fastq.gz,643
ERR14391078_1.fastq.gz,39292
ERR14391079_1.fastq.gz,40893
ERR14391080_1.fastq.gz,971
ERR14391093_1.fastq.gz,46698
ERR14391094_1.fastq.gz,50472
ERR14391095_1.fastq.gz,1152
ERR14391096_1.fastq.gz,44841
ERR14391097_1.fastq.gz,43115
ERR14391098_1.fastq.gz,1094
ERR14391114_1.fastq.gz,34402
ERR14391115_1.fastq.gz,47784
ERR14391116_1.fastq.gz,1387
ERR14391117_1.fastq.gz,38372
ERR14391118_1.fastq.gz,37211
ERR14391119_1.fastq.gz,987
ERR14391120_1.fastq.gz,50613
ERR14391121_1.fastq.gz,49175
ERR14391122_1.fastq.gz,1802
ERR14391123_1.fastq.gz,46907
ERR14391124_1.fastq.gz,46705
ERR14391125_1.fastq.gz,1327
ERR14391126_1.fastq.gz,34640
ERR14391127_1.fastq.gz,38545
ERR14391128_1.fastq.gz,1496
ERR14391135_1.fastq.gz,43104
ERR14391136_1.fastq.gz,41285
ERR14391137_1.fastq.gz,1236
ERR14391138_1.fastq.gz,28887
ERR14391139_1.fastq.gz,38695
ERR14391140_1.fastq.gz,1094
ERR14391141_1.fastq.gz,32535
ERR14391142_1.fastq.gz,31899
ERR14391143_1.fastq.gz,880
ERR14391147_1.fastq.gz,41984
ERR14391148_1.fastq.gz,42912
ERR14391149_1.fastq.gz,1134
ERR14391150_1.fastq.gz,45716
ERR14391151_1.fastq.gz,44454
ERR14391152_1.fastq.gz,1602
ERR14391159_1.fastq.gz,33897
ERR14391160_1.fastq.gz,38161
ERR14391161_1.fastq.gz,1232
ERR14391162_1.fastq.gz,26409
ERR14391163_1.fastq.gz,28127
ERR14391164_1.fastq.gz,639
ERR14391165_1.fastq.gz,49714
ERR14391166_1.fastq.gz,47542
ERR14391167_1.fastq.gz,1576
ERR14391171_1.fastq.gz,44263
ERR14391172_1.fastq.gz,46098
ERR14391173_1.fastq.gz,1482
ERR14391186_1.fastq.gz,40283
