sample_title,run_accession,panel
RCN12687,ERR14389338,GRC1
RCN12687,ERR14389339,GRC2
RCN12687,ERR14389340,SPEC
RCN12688,ERR14389341,GRC1
RCN12688,ERR14389342,GRC2
RCN12688,ERR14389343,SPEC
RCN12689,ERR14389344,GRC1
RCN12689,ERR14389345,GRC2
RCN12689,ERR14389346,SPEC
RCN12690,ERR14389347,GRC1
RCN12690,ERR14389348,GRC2
RCN12690,ERR14389349,SPEC
RCN12691,ERR14389350,GRC1
RCN12691,ERR14389351,GRC2
RCN12691,ERR14389352,SPEC
RCN12692,ERR14389353,GRC1
RCN12692,ERR14389354,GRC2
RCN12692,ERR14389355,SPEC
RCN12693,ERR14389356,GRC1
RCN12693,ERR14389357,GRC2
RCN12693,ERR14389358,SPEC
RCN12694,ERR14389359,GRC1
RCN12694,ERR14389360,GRC2
RCN12694,ERR14389361,SPEC
RCN12695,ERR14389362,GRC1
RCN12695,ERR14389363,GRC2
RCN12695,ERR14389364,SPEC
RCN12696,ERR14389365,GRC1
RCN12696,ERR14389366,GRC2
RCN12696,ERR14389367,SPEC
RCN12697,ERR14389368,GRC1
RCN12697,ERR14389369,GRC2
RCN12697,ERR14389370,SPEC
RCN12698,ERR14389371,GRC1
RCN12698,ERR14389372,GRC2
RCN12698,ERR14389373,SPEC
RCN12699,ERR14389374,GRC1
RCN12699,ERR14389375,GRC2
RCN12699,ERR14389376,SPEC
RCN12700,ERR14389377,GRC1
