sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,S-P,S-P-IPTp,INSDC_Pf8,INSDC_Pf8_readcount,INSDC_GenRe_GRC1,INSDC_GenRe_GRC1_readcount,INSDC_GenRe_GRC2,INSDC_GenRe_GRC2_readcount,INSDC_GenRe_SPEC,INSDC_GenRe_SPEC_readcount,GenRe_GRC1_ENA_FASTQ_FTP_1,GenRe_GRC2_ENA_FASTQ_FTP_1,GenRe_SPEC_ENA_FASTQ_FTP_1,Pf8_ENA_FASTQ_FTP_1,GenRe_GRC1_ENA_FASTQ_FTP_2,GenRe_GRC2_ENA_FASTQ_FTP_2,GenRe_SPEC_ENA_FASTQ_FTP_2,Pf8_ENA_FASTQ_FTP_2
RCN18713,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15627414,18597838.0,ERR14394618,10703.0,ERR14394619,9887.0,ERR14394620,191.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394618/ERR14394618_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394619/ERR14394619_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394620/ERR14394620_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/014/ERR15627414/ERR15627414_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14394618/ERR14394618_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14394619/ERR14394619_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14394620/ERR14394620_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/014/ERR15627414/ERR15627414_2.fastq.gz
RCN18714,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15627415,14228661.0,ERR14394621,64228.0,ERR14394622,49519.0,ERR14394623,1320.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394621/ERR14394621_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14394622/ERR14394622_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14394623/ERR14394623_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/015/ERR15627415/ERR15627415_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394621/ERR14394621_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14394622/ERR14394622_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14394623/ERR14394623_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/015/ERR15627415/ERR15627415_2.fastq.gz
RCN18715,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15627416,13921582.0,ERR14394624,66378.0,ERR14394625,34489.0,ERR14394626,1127.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14394624/ERR14394624_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/025/ERR14394625/ERR14394625_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14394626/ERR14394626_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/016/ERR15627416/ERR15627416_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14394624/ERR14394624_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/025/ERR14394625/ERR14394625_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14394626/ERR14394626_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/016/ERR15627416/ERR15627416_2.fastq.gz
RCN18717,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15627418,21053964.0,ERR14394630,33970.0,ERR14394631,39674.0,ERR14394632,733.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14394630/ERR14394630_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14394631/ERR14394631_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14394632/ERR14394632_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/018/ERR15627418/ERR15627418_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14394630/ERR14394630_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14394631/ERR14394631_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14394632/ERR14394632_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/018/ERR15627418/ERR15627418_2.fastq.gz
RCN18718,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15627419,9975745.0,ERR14394633,37606.0,ERR14394634,30234.0,ERR14394635,972.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14394633/ERR14394633_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14394634/ERR14394634_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14394635/ERR14394635_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/019/ERR15627419/ERR15627419_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14394633/ERR14394633_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14394634/ERR14394634_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14394635/ERR14394635_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/019/ERR15627419/ERR15627419_2.fastq.gz
RCN18720,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15627421,12893295.0,ERR14394639,38098.0,ERR14394640,21692.0,ERR14394641,1002.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14394639/ERR14394639_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/040/ERR14394640/ERR14394640_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/041/ERR14394641/ERR14394641_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/021/ERR15627421/ERR15627421_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14394639/ERR14394639_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/040/ERR14394640/ERR14394640_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/041/ERR14394641/ERR14394641_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/021/ERR15627421/ERR15627421_2.fastq.gz
RCN18723,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15627423,16255379.0,ERR14394645,44922.0,ERR14394646,35110.0,ERR14394647,1628.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14394645/ERR14394645_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14394646/ERR14394646_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14394647/ERR14394647_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/023/ERR15627423/ERR15627423_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14394645/ERR14394645_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14394646/ERR14394646_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14394647/ERR14394647_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/023/ERR15627423/ERR15627423_2.fastq.gz
RCN18724,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15627424,14595290.0,ERR14394648,29668.0,ERR14394649,33562.0,ERR14394650,1258.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/048/ERR14394648/ERR14394648_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14394649/ERR14394649_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/050/ERR14394650/ERR14394650_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/024/ERR15627424/ERR15627424_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/048/ERR14394648/ERR14394648_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14394649/ERR14394649_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/050/ERR14394650/ERR14394650_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/024/ERR15627424/ERR15627424_2.fastq.gz
RCN18725,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15627425,12938295.0,ERR14394651,12944.0,ERR14394652,41498.0,ERR14394653,1049.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394651/ERR14394651_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394652/ERR14394652_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394653/ERR14394653_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/025/ERR15627425/ERR15627425_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14394651/ERR14394651_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14394652/ERR14394652_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14394653/ERR14394653_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/025/ERR15627425/ERR15627425_2.fastq.gz
RCN18728,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15627426,14884969.0,ERR14394660,40897.0,ERR14394661,26943.0,ERR14394662,1297.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14394660/ERR14394660_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14394661/ERR14394661_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14394662/ERR14394662_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/026/ERR15627426/ERR15627426_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14394660/ERR14394660_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14394661/ERR14394661_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14394662/ERR14394662_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/026/ERR15627426/ERR15627426_2.fastq.gz
RCN18729,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15627427,14824784.0,ERR14394663,7432.0,ERR14394664,32193.0,ERR14394665,499.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14394663/ERR14394663_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14394664/ERR14394664_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14394665/ERR14394665_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/027/ERR15627427/ERR15627427_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14394663/ERR14394663_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/064/ERR14394664/ERR14394664_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14394665/ERR14394665_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/027/ERR15627427/ERR15627427_2.fastq.gz
