run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR15626111,RCN13585,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/011/ERR15626111/ERR15626111_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/011/ERR15626111/ERR15626111_2.fastq.gz
ERR14390795,RCN13585,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14390795/ERR14390795_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14390795/ERR14390795_2.fastq.gz
ERR15626087,RCN13560,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/087/ERR15626087/ERR15626087_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/087/ERR15626087/ERR15626087_2.fastq.gz
ERR14390723,RCN13560,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14390723/ERR14390723_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14390723/ERR14390723_2.fastq.gz
ERR15626095,RCN13568,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/095/ERR15626095/ERR15626095_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/095/ERR15626095/ERR15626095_2.fastq.gz
ERR14390745,RCN13568,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14390745/ERR14390745_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14390745/ERR14390745_2.fastq.gz
ERR14390746,RCN13568,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14390746/ERR14390746_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14390746/ERR14390746_2.fastq.gz
ERR14390747,RCN13568,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14390747/ERR14390747_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/047/ERR14390747/ERR14390747_2.fastq.gz
ERR15626429,RCN14580,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/029/ERR15626429/ERR15626429_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/029/ERR15626429/ERR15626429_2.fastq.gz
ERR14391281,RCN14580,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14391281/ERR14391281_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14391281/ERR14391281_2.fastq.gz
ERR14391279,RCN14580,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14391279/ERR14391279_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14391279/ERR14391279_2.fastq.gz
ERR14391280,RCN14580,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/080/ERR14391280/ERR14391280_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/080/ERR14391280/ERR14391280_2.fastq.gz
ERR14391457,RCN14642,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14391457/ERR14391457_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14391457/ERR14391457_2.fastq.gz
ERR15626490,RCN14642,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/090/ERR15626490/ERR15626490_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/090/ERR15626490/ERR15626490_2.fastq.gz
ERR14391456,RCN14642,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14391456/ERR14391456_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14391456/ERR14391456_2.fastq.gz
ERR14391458,RCN14642,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14391458/ERR14391458_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14391458/ERR14391458_2.fastq.gz
ERR14392568,RCN15107,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/068/ERR14392568/ERR14392568_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/068/ERR14392568/ERR14392568_2.fastq.gz
ERR14393039,RCN15274,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14393039/ERR14393039_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14393039/ERR14393039_2.fastq.gz
ERR15626931,RCN15274,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/031/ERR15626931/ERR15626931_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/031/ERR15626931/ERR15626931_2.fastq.gz
ERR15626787,RCN15107,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/087/ERR15626787/ERR15626787_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/087/ERR15626787/ERR15626787_2.fastq.gz
ERR14392566,RCN15107,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14392566/ERR14392566_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14392566/ERR14392566_2.fastq.gz
ERR14392567,RCN15107,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14392567/ERR14392567_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14392567/ERR14392567_2.fastq.gz
ERR14393037,RCN15274,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/037/ERR14393037/ERR14393037_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/037/ERR14393037/ERR14393037_2.fastq.gz
ERR14393038,RCN15274,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14393038/ERR14393038_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14393038/ERR14393038_2.fastq.gz
